,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2010-01-05,248764.0,0.0,215842.0,60156.0,0.0,0.0,103550.0,275442.0,0.0,270266.0,0.0,0.0,0.0,0.0,0.0,0.0,126528.0,966774.0,0.0,0.0,0.0,726670.0,0.0,0.0,1320744.0,0.0,647744.0,0.0,0.0,0.0,2152154.0,638404.0,227538.0,0.0,788924.0,0.0,470764.0
2010-01-06,860732.0,0.0,430156.0,73894.0,0.0,0.0,160388.0,300776.0,0.0,317126.0,0.0,0.0,0.0,0.0,0.0,0.0,257484.0,1300352.0,0.0,0.0,0.0,758462.0,0.0,0.0,1480686.0,0.0,534644.0,0.0,0.0,0.0,2332567.0,526042.0,102842.0,0.0,1015104.0,0.0,415530.0
2010-01-07,705530.0,0.0,495902.0,86686.0,0.0,0.0,162542.0,313564.0,0.0,585248.0,0.0,0.0,0.0,0.0,0.0,0.0,326126.0,1523946.0,0.0,0.0,0.0,971716.0,0.0,0.0,2193074.0,0.0,861746.0,0.0,0.0,0.0,2158006.0,632814.0,121078.0,0.0,1455542.0,0.0,520390.0
2010-01-08,526556.0,0.0,356238.0,53684.0,0.0,0.0,604822.0,190082.0,0.0,533538.0,0.0,0.0,0.0,0.0,0.0,0.0,251664.0,1081738.0,0.0,0.0,0.0,857578.0,0.0,0.0,1519620.0,0.0,1479310.0,0.0,0.0,0.0,1696348.0,533380.0,59944.0,0.0,1144982.0,0.0,614214.0
2010-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,221194.0,0.0,335360.0,51282.0,0.0,0.0,186086.0,307806.0,0.0,313494.0,0.0,0.0,0.0,0.0,0.0,0.0,91300.0,412096.0,0.0,0.0,0.0,474856.0,0.0,0.0,1130530.0,0.0,952996.0,0.0,0.0,0.0,2458854.0,449014.0,19062.0,0.0,445818.0,0.0,373366.0
2010-01-12,428680.0,0.0,520534.0,38234.0,0.0,0.0,175956.0,284660.0,0.0,269388.0,0.0,0.0,0.0,0.0,0.0,0.0,168258.0,585894.0,0.0,0.0,0.0,461102.0,0.0,0.0,1176204.0,0.0,1097806.0,0.0,0.0,0.0,1554428.0,725242.0,17292.0,0.0,619906.0,0.0,448534.0
2010-01-13,300922.0,0.0,374128.0,49250.0,0.0,0.0,217082.0,234518.0,0.0,379894.0,0.0,0.0,0.0,0.0,0.0,0.0,158518.0,843374.0,0.0,0.0,0.0,544630.0,0.0,0.0,1461592.0,0.0,1219670.0,0.0,0.0,0.0,2566252.0,503910.0,26374.0,0.0,756102.0,0.0,360374.0
2010-01-14,190322.0,0.0,182442.0,27008.0,0.0,0.0,108330.0,163292.0,0.0,180778.0,0.0,0.0,0.0,0.0,0.0,0.0,334510.0,620646.0,0.0,0.0,0.0,472458.0,0.0,0.0,1076474.0,0.0,794078.0,0.0,0.0,0.0,3019370.0,628058.0,10198.0,0.0,764248.0,0.0,360626.0
